Item Name,Item Price,Short Description
Automotive Rim & Tyre: Truck,69,"*for truck
(option to add 'Tyre Only', 'Rim Only' or 'Rim & Tyre' available)"
Automotive Rim & Tyre: Tractor,499,"*for an industrial/agricultural machine
(option to add 'Tyre Only', 'Rim Only' or 'Rim & Tyre' available)"
"Bed Frame: Single, King Single",79,"*inc. a platform base, slats, leg posts, header & footer"
Tyre (no rim): Truck,59,"*for a tractor, truck or bob cat
(option to add 'Tyre Only', 'Rim Only' or 'Rim & Tyre' available)"
Automotive Rim ONLY: Car,10,"*rim only for a car tyre
(option to add 'Tyre Only', 'Rim Only' or 'Rim & Tyre' available)"
Automotive Rim ONLY: Truck,19,"*rim only for a truck tyre
(option to add 'Tyre Only', 'Rim Only' or 'Rim & Tyre' available)"
Automotive Rim ONLY: Tractor,59,"*rim only for a tractor tyre
(option to add 'Tyre Only', 'Rim Only' or 'Rim & Tyre' available)"
Bed Base: Double/Queen/King,99,*a solid box for the mattress to sit atop
Bed Base: Single/King Single,79,*a solid box for the mattress to sit atop
"Bed Frame: Double, Queen, King",99,"*inc. a platform base, slats, leg posts, header & footer"
Bunkbed: Single/Single,129,*single bed above single bed
Bunkbed: Single/Double,169,*single bed above double bed
Bunkbed: Double/Double,229,*double bed above double bed
Couch - 1 seat,69,"*if you have a chaise section, please add ""Sofa - Chaise' as extra item to cart"
Couch - 2 seater,159,"*if you have a chaise section, please add ""Sofa - Chaise' as extra item to cart"
Couch - 3 seater,169,"*if you have a chaise section, please add ""Sofa - Chaise' as extra item to cart"
Couch - 4 seater,189,"*if you have a chaise section, please add ""Sofa - Chaise' as extra item to cart"
Couch - 5 seater,199,"*if you have a chaise section, please add ""Sofa - Chaise' as extra item to cart"
Couch - 6 seater,279,"*if you have a chaise section, please add ""Sofa - Chaise' as extra item to cart"
Couch - 7 seater,299,"*if you have a chaise section, please add ""Sofa - Chaise' as extra item to cart"
Couch - 8 seater,399,"*if you have a chaise section, please add ""Sofa - Chaise' as extra item to cart"
Couch Chaise - Chaise section only,59,"*if you have a chaise section, please add ""Sofa - Chaise' as extra item to cart"
Futon: 2 Seater,169,
Futon: 3 Seater,199,
Headboard: Single/King Single,39,
Headboard: Double/Queen/King,49,
Mattress: Single/King Single,99,
Mattress: Double/ Queen/ King,139,
Mattress: Crib/Cot,29,
Mattress Topper: Single/King Single,19,
Mattress Topper: Double/Queen/King,29,"*double, queen, king
*standard size"
Outdoor Couch: Armchair,69,
Outdoor Couch: 2 seater,149,
Outdoor Couch: 3 seater,169,
Outdoor Couch: 4 seater,189,
Outdoor Couch: 5 seater,199,
Outdoor Couch: 6 seater,279,
Outdoor Couch: 7 seater,299,
Outdoor Couch: 8 seater,399,
Piano - Baby Grand,1299,*check dimensions for maximum size
Piano - Grand,1299,*check dimensions for maximum size
Piano - Upright,1299,*check dimensions for maximum size
Recliner: 1 Seat,79,
Recliner: 2 Seat,159,
Recliner: 3 Seat,179,
